cc,descripcion,unidad,capitulo,grupo,uf,proyecto,orden
3702.02.07,Pedraplen compacto,m3,EXPLANACIONES,TIERRAS,UF2,3702,146
3701.05.02,"Geodren planar h=0,5 m MSR",M,ESTRUCTURAS,TIERRAS,UF1,3701,147
3701.05.03,"Tubería PVC d=4"" para drenaje perforada MSR",M,ESTRUCTURAS,TIERRAS,UF1,3701,148
3701.05.04,Relleno para muros de tierra MSR,M3,ESTRUCTURAS,TIERRAS,UF1,3701,149
3701.05.05,Material granular drenante MSR,M3,ESTRUCTURAS,TIERRAS,UF1,3701,150
3701.05.06,Geomalla tejida uniaxial de 55 kn/m (método md),M2,ESTRUCTURAS,TIERRAS,UF1,3701,151
3701.05.07,Geomalla tejida uniaxial de 115 kn/m (método md),M2,ESTRUCTURAS,TIERRAS,UF1,3701,152
3701.05.08,Geotextil tejido uniaxial de 1480 n (método grab md),M2,ESTRUCTURAS,TIERRAS,UF1,3701,153
3701.05.09,Geotextil tejido uniaxial de 2890 n (método grab md),M2,ESTRUCTURAS,TIERRAS,UF1,3701,154
3701.05.10,Geodrén planar h=1 m MSR,M,ESTRUCTURAS,TIERRAS,UF1,3701,155
3701.05.11,Geobolsas de geotextil (propybag) MSR,UND,ESTRUCTURAS,TIERRAS,UF1,3701,156
